"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"
102	153	0	192	0	887	942	28
108.3	162.4	0	203.5	0	938.2	849	28
108.3	162.4	0	203.5	0	938.2	849	3
133	200	0	192	0	927.4	839.2	90
134.7	0	165.7	180.2	10	961	804.9	28
139.7	163.9	127.7	236.7	5.8	868.6	655.6	28
146	173	0	182	3	986	817	28
147.8	175.1	0	171.2	2.2	1000	828.5	28
155	0	143	193	9	877	868	28
155.6	243.5	0	180.3	10.7	1022	697.7	28
162	207	172	216	10	822	638	28
165	0	143.6	163.8	0	1005.6	900.9	100
166.1	0	163.3	176.5	4.5	1058.6	780.1	56
166.8	250.2	0	203.5	0	975.6	692.6	28
166.8	250.2	0	203.5	0	975.6	692.6	90
167.4	129.9	128.6	175.5	7.8	1006.3	746.6	100
168	42.1	163.8	121.8	5.7	1058.7	780.1	56
170.3	155.5	0	185.7	0	1026.6	724.3	7
173.5	50.1	173.5	164.8	6.5	1006.2	793.5	56
173.8	93.4	159.9	172.3	9.7	1007.2	746.6	100
178	129.8	118.6	179.9	3.6	1007.3	746.8	28
181.4	0	167	169.6	7.6	1055.6	777.8	28
190	190	0	228	0	932	670	270
190.7	0	125.4	162.1	7.8	1090	804	28
190.7	0	125.4	162.1	7.8	1090	804	56
200	133	0	192	0	965.4	806.2	3
202	11	141	206	1.7	942	801	7
212	141.3	0	203.5	0	973.4	750	7
212.6	0	100.4	159.4	10.4	1003.8	903.8	28
212.6	0	100.4	159.4	10.4	1003.8	903.8	3
213.5	0	174.2	154.6	11.7	1052.3	775.5	3
213.5	0	174.2	159.2	11.7	1043.6	771.9	56
213.7	0	174.7	154.8	10.2	1053.5	776.4	3
214.9	53.8	121.9	155.6	9.6	1014.3	780.6	3
214.9	53.8	121.9	155.6	9.6	1014.3	780.6	56
218.2	54.6	123.8	140.8	11.9	1075.7	792.7	14
218.2	54.6	123.8	140.8	11.9	1075.7	792.7	3
229.7	0	118.2	195.2	6.1	1028.1	757.6	28
229.7	0	118.2	195.2	6.1	1028.1	757.6	56
230	0	118.3	195.5	4.6	1029.4	758.6	3
231.8	0	121.6	174	6.7	1056.4	778.5	28
249.1	0	98.8	158.1	12.8	987.8	889	56
250	0	0	182	0	1100	820	28
251.4	0	118.3	192.9	5.8	1043.6	754.3	100
251.8	0	99.9	146.1	12.4	1006	899.8	56
252.5	0	0	185.7	0	1111.6	784.3	7
259.9	100.6	78.4	170.6	10.4	935.7	762.9	28
276.4	116	90.3	179.6	8.9	870.1	768.3	28
288	121	0	177	7	908	829	28
288	192	0	192	0	932	717.8	90
288.4	121	0	177.4	7	907.9	829.5	28
289	134	0	195	6	924	760	28
290.4	0	96.2	168.1	9.4	961.2	865	100
295.7	0	95.6	171.5	8.9	955.1	859.2	14
295.7	0	95.6	171.5	8.9	955.1	859.2	56
297.2	0	117.5	174.8	9.5	1022.8	753.5	28
300	0	0	184	0	1075	795	28
310	143	111	168	22	914	651	28
313	0	0	178	8	1000	822	28
313	0	113	178	8	1002	689	28
313.3	145	0	178.5	8	1001.9	688.7	28
313.3	145	0	178.5	8	867.2	824	28
315	137	0	145	5.9	1130	745	28
316.1	210.7	0	185.7	0	977	689.3	7
322	0	0	203	0	974	800	14
326.5	0	137.9	199	10.8	801.1	792.5	28
331	0	0	192	0	978	825	28
332.5	142.5	0	228	0	932	594	180
333	0	0	192	0	931.2	842.6	3
337.9	189	0	174.9	9.5	944.7	755.8	28
337.9	189	0	174.9	9.5	944.7	755.8	56
339	0	0	197	0	968	781	180
342	38	0	228	0	932	670	180
342	38	0	228	0	932	670	365
349	0	0	192	0	1056	809	7
350	0	0	203	0	974	775	180
374.3	0	0	190.2	6.7	1013.2	730.4	28
375	93.8	0	126.6	23.4	852.1	992.6	7
379.5	151.2	0	153.9	15.9	1134.3	605	3
380	0	0	228	0	932	670	365
380	95	0	228	0	932	594	180
381.4	0	0	185.7	0	1104.6	784.3	7
382.5	0	0	185.7	0	1047.8	739.3	7
387	20	94	157	11.6	938	845	28
387	20	94	157	11.6	938	845	56
389.9	189	0	145.9	22	944.7	755.8	28
397	0	0	185.7	0	1040.6	734.3	28
424	22	132	168	8.9	822	750	7
424	22	132	178	8.5	822	750	7
446	24	79	162	11.6	967	712	7
469	117.2	0	137.8	32.2	852.1	840.5	3
469	117.2	0	137.8	32.2	852.1	840.5	56
475	0	0	162	9.5	1044	662	28
475	0	59	142	1.9	1098	641	28
475	118.8	0	181.1	8.9	852.1	781.5	28
485	0	0	146	0	1120	800	28
491	26	123	210	3.9	882	699	7
500	0	0	200	0	1125	613	1
528	0	0	185	6.9	920	720	28
531.3	0	0	141.8	28.2	852.1	893.7	7
